Store,Store Owner,Region Level 1,Region Level 2,Urban/Rural
564,00278,Suupohja,VFN,Urban
565,00088,Sein?joki,QQS,Urban
566,00279,Ikast-Brande Kommune,WPH,Urban
567,00279,Ikast-Brande Kommune,WPH,Urban
568,00088,Kuusiokunnat,QQS,Rural
569,00118,Nov? Ji??n,LRJ,Rural
570,00250,Louny,KTR,Rural
571,00280,Chrudim,ICA,Urban
572,00055,J?rviseutu,TPV,Urban
573,00012,Politischer Bezirk Bruck an der Leitha,TPV,Urban
574,00114,Frederiksberg Kommune,AAR,Urban
575,00280,Vaasa,KTR,Urban
576,00281,Litom??ice,NGO,Rural
577,00281,Politischer Bezirk Eferding,ICA,Rural
578,00281,Syd?sterbotten,ICA,Urban
579,00282,Politischer Bezirk Steyr-Land,VFN,Rural
580,00045,Politischer Bezirk Sankt Johann im Pongau,VIL,Rural
581,00045,Bene?ov,UQM,Rural
582,00283,Litom??ice,NGO,Rural
583,00283,Politischer Bezirk Eferding,ICA,Rural
584,00283,Politischer Bezirk Eferding,ICA,Rural
585,00281,Politischer Bezirk Eferding,ICA,Rural
586,00210,Kokkola,WJO,Urban
587,00284,Flandre-Orientale,KTR,Urban
588,00054,Politischer Bezirk Hartberg-F?rstenfeld,JHJ,Urban
589,00280,Chrudim,ICA,Urban
590,00285,Oulu,TOH,Urban
591,00286,Politischer Bezirk Korneuburg,IRG,Rural
592,00287,Politischer Bezirk Gm?nd,TPV,Rural
593,00288,Politischer Bezirk Voitsberg,SQI,Rural
594,00289,Litom??ice,NGO,Rural
595,00289,Litom??ice,NGO,Rural
596,00290,Oulunkaari,NLG,Urban
597,00290,Haapavesi-Siikalatva,NLG,Urban
598,00103,Drag©ªr Kommune,YIU,Urban
599,00291,Ylivieska,JOP,Urban
600,00291,Kehys-Kainuu,JOP,Urban
601,00124,Bene?ov,UQM,Rural
602,00292,Kajaani,TIG,Urban
603,00289,Litom??ice,NGO,Rural
604,00293,Litom??ice,NGO,Rural
605,00294,Politischer Bezirk Steyr-Land,VFN,Rural
606,00295,Rovaniemi,OOO,Urban
607,00296,Nov? Ji??n,LRJ,Rural
608,00297,Flandre-Occidentale,LAV,Rural
609,00034,Kemi-Tornio,WJO,Urban
610,00034,It?-Lappi,WJO,Urban
611,00295,Tunturi-Lappi,OOO,Urban
612,00164,Politischer Bezirk Korneuburg,IRG,Rural
613,00164,Raaseporin,IRG,Urban
614,00034,Loviisa,WJO,Urban
615,00298,Politischer Bezirk Spittal an der Drau,OOO,Rural
616,00211,Riihim?ki,AAR,Urban
617,00211,Forssa,AAR,Urban
618,00211,Gribskov Kommune,NLX,Rural
619,00077,Praha-v?chod,QDA,Rural
620,00124,Bene?ov,UQM,Rural
621,00294,Politischer Bezirk Steyr-Land,VFN,Rural
622,00294,Politischer Bezirk Steyr-Land,VFN,Rural
623,00291,Etel?-Pirkanmaa,WJO,Urban
624,00291,Lounais-Pirkanmaa,WJO,Urban
625,00028,Politischer Bezirk Ried im Innkreis,TZF,Urban
626,00046,Yl?-Pirkanmaa,TIF,Urban
627,00046,Kouvola,UAY,Urban
628,00046,Koillis-Savo,TIF,Urban
629,00046,Eisenstadt Stadt,TIF,Rural
630,00299,Litom??ice,NGO,Rural
631,00292,Kajaani,TIG,Urban
632,00211,Varkaus,NLG,Urban
633,00211,Gribskov Kommune,NLX,Rural
634,00211,Sis?-Savo,NLG,Urban
635,00295,Politischer Bezirk Spittal an der Drau,OOO,Rural
636,00295,Jakobstadsregionen,OOO,Urban
637,00295,Raahe,OOO,Urban
638,00132,Graz Stadt,MMJ,Rural
639,00300,Politischer Bezirk Eferding,ICA,Rural
640,00301,Bene?ov,UQM,Rural
641,00004,Nivala-Haapaj?rvi,IRA,Urban
642,00074,Koillismaa,KTR,Urban
